theta,phi,B
0.000000000000000000e+00,0.000000000000000000e+00,2.684546216052527967e+00
0.000000000000000000e+00,7.020318778971604452e-03,2.685421267918354893e+00
0.000000000000000000e+00,1.404063755794320890e-02,2.687908888795458751e+00
0.000000000000000000e+00,2.106095633691481422e-02,2.691614485355450004e+00
0.000000000000000000e+00,2.808127511588641781e-02,2.695938155657051638e+00
0.000000000000000000e+00,3.510159389485802139e-02,2.700153621806323567e+00
0.000000000000000000e+00,4.212191267382962845e-02,2.703504350084704022e+00
0.000000000000000000e+00,4.914223145280122856e-02,2.705304695997691855e+00
0.000000000000000000e+00,5.616255023177283562e-02,2.705033287341616965e+00
0.000000000000000000e+00,6.318286901074443573e-02,2.702406849763073549e+00
0.000000000000000000e+00,7.020318778971604279e-02,2.697425151884398353e+00
0.000000000000000000e+00,7.722350656868764984e-02,2.690381377896254644e+00
0.000000000000000000e+00,8.424382534765925690e-02,2.681836556316594233e+00
0.000000000000000000e+00,9.126414412663086395e-02,2.672561132625884017e+00
0.000000000000000000e+00,9.828446290560245713e-02,2.663450807454811553e+00
0.000000000000000000e+00,1.053047816845740642e-01,2.655426868806964880e+00
0.000000000000000000e+00,1.123251004635456712e-01,2.649333049185679467e+00
0.000000000000000000e+00,1.193454192425172783e-01,2.645841230585361359e+00
0.000000000000000000e+00,1.263657380214888715e-01,2.645377091106113632e+00
0.000000000000000000e+00,1.333860568004604785e-01,2.648074218096478916e+00
0.000000000000000000e+00,1.404063755794320856e-01,2.653761651296854929e+00
0.000000000000000000e+00,1.474266943584036926e-01,2.661985729864872585e+00
0.000000000000000000e+00,1.544470131373752997e-01,2.672063018966767345e+00
0.000000000000000000e+00,1.614673319163469067e-01,2.683157491681239293e+00
0.000000000000000000e+00,1.684876506953185138e-01,2.694372470070095282e+00
0.000000000000000000e+00,1.755079694742901208e-01,2.704846385546374687e+00
0.000000000000000000e+00,1.825282882532617279e-01,2.713841339377887518e+00
0.000000000000000000e+00,1.895486070322333072e-01,2.720814689837030897e+00
0.000000000000000000e+00,1.965689258112049143e-01,2.725466259278715331e+00
0.000000000000000000e+00,2.035892445901765213e-01,2.727756906269854564e+00
0.000000000000000000e+00,2.106095633691481284e-01,2.727897724801560564e+00
0.000000000000000000e+00,2.176298821481197354e-01,2.726312567775669660e+00
0.000000000000000000e+00,2.246502009270913425e-01,2.723579530003631621e+00
0.000000000000000000e+00,2.316705197060629495e-01,2.720359134558897551e+00
0.000000000000000000e+00,2.386908384850345566e-01,2.717318034563818152e+00
0.000000000000000000e+00,2.457111572640061636e-01,2.715057001507721335e+00
0.000000000000000000e+00,2.527314760429777429e-01,2.714050895188745205e+00
0.000000000000000000e+00,2.597517948219493777e-01,2.714606398799041198e+00
0.000000000000000000e+00,2.667721136009209570e-01,2.716840846929485576e+00
0.000000000000000000e+00,2.737924323798925919e-01,2.720682814201894839e+00
0.000000000000000000e+00,2.808127511588641712e-01,2.725892608864059596e+00
0.000000000000000000e+00,2.878330699378358060e-01,2.732098726759010887e+00
0.000000000000000000e+00,2.948533887168073853e-01,2.738844885358662662e+00
0.000000000000000000e+00,3.018737074957789646e-01,2.745641592112333829e+00
0.000000000000000000e+00,3.088940262747505994e-01,2.752016314279091436e+00
0.000000000000000000e+00,3.159143450537221787e-01,2.757557115799078140e+00
0.000000000000000000e+00,3.229346638326938135e-01,2.761945938003711465e+00
0.000000000000000000e+00,3.299549826116653928e-01,2.764979303308008785e+00
0.000000000000000000e+00,3.369753013906370276e-01,2.766575878468160887e+00
0.000000000000000000e+00,3.439956201696086069e-01,2.766771830226325779e+00
0.000000000000000000e+00,3.510159389485802417e-01,2.765706072778132185e+00
0.000000000000000000e+00,3.580362577275518210e-01,2.763598241653147269e+00
0.000000000000000000e+00,3.650565765065234558e-01,2.760722504283223966e+00
0.000000000000000000e+00,3.720768952854950351e-01,2.757380175114255039e+00
0.000000000000000000e+00,3.790972140644666144e-01,2.753873638791472622e+00
0.000000000000000000e+00,3.861175328434382492e-01,2.750483428128541519e+00
0.000000000000000000e+00,3.931378516224098285e-01,2.747449592099853177e+00
0.000000000000000000e+00,4.001581704013814633e-01,2.744957845488031456e+00
0.000000000000000000e+00,4.071784891803530426e-01,2.743130504270240966e+00
0.000000000000000000e+00,4.141988079593246774e-01,2.742021921790955385e+00
0.000000000000000000e+00,4.212191267382962567e-01,2.741618044504597673e+00
0.000000000000000000e+00,4.282394455172678915e-01,2.741839755036734161e+00
0.000000000000000000e+00,4.352597642962394708e-01,2.742549788819375500e+00
0.000000000000000000e+00,4.422800830752111056e-01,2.743563112951988181e+00
0.000000000000000000e+00,4.493004018541826849e-01,2.744660665920698683e+00
0.000000000000000000e+00,4.563207206331542642e-01,2.745606224366530679e+00
0.000000000000000000e+00,4.633410394121258991e-01,2.746165876101155146e+00
0.000000000000000000e+00,4.703613581910974784e-01,2.746129166951665201e+00
0.000000000000000000e+00,4.773816769700691132e-01,2.745330520775528527e+00
0.000000000000000000e+00,4.844019957490406925e-01,2.743669101722234771e+00
0.000000000000000000e+00,4.914223145280123273e-01,2.741124999678956620e+00
0.000000000000000000e+00,4.984426333069839066e-01,2.737769567812888827e+00
0.000000000000000000e+00,5.054629520859554859e-01,2.733767990036174211e+00
0.000000000000000000e+00,5.124832708649271762e-01,2.729372726759537571e+00
0.000000000000000000e+00,5.195035896438987555e-01,2.724907347790272105e+00
0.000000000000000000e+00,5.265239084228703348e-01,2.720741327800852982e+00
0.000000000000000000e+00,5.335442272018419141e-01,2.717257525292679166e+00
0.000000000000000000e+00,5.405645459808134934e-01,2.714815136535696283e+00
0.000000000000000000e+00,5.475848647597851837e-01,2.713711752886990958e+00
0.000000000000000000e+00,5.546051835387567630e-01,2.714148613650996023e+00
0.000000000000000000e+00,5.616255023177283423e-01,2.716203139280487733e+00
0.000000000000000000e+00,5.686458210966999216e-01,2.719812312151392408e+00
0.000000000000000000e+00,5.756661398756716119e-01,2.724769473544794263e+00
0.000000000000000000e+00,5.826864586546431912e-01,2.730735722985841551e+00
0.000000000000000000e+00,5.897067774336147705e-01,2.737265494638205343e+00
0.000000000000000000e+00,5.967270962125863498e-01,2.743844238755656306e+00
0.000000000000000000e+00,6.037474149915579291e-01,2.749934661572563943e+00
0.000000000000000000e+00,6.107677337705296194e-01,2.755026867443938432e+00
0.000000000000000000e+00,6.177880525495011987e-01,2.758687154396695540e+00
0.000000000000000000e+00,6.248083713284727780e-01,2.760600227615509716e+00
0.000000000000000000e+00,6.318286901074443573e-01,2.760600227615509716e+00
0.000000000000000000e+00,6.388490088864160477e-01,2.758687154396695540e+00
0.000000000000000000e+00,6.458693276653876270e-01,2.755026867443938432e+00
0.000000000000000000e+00,6.528896464443592063e-01,2.749934661572563499e+00
0.000000000000000000e+00,6.599099652233307856e-01,2.743844238755657194e+00
0.000000000000000000e+00,6.669302840023024759e-01,2.737265494638205787e+00
0.000000000000000000e+00,6.739506027812740552e-01,2.730735722985841551e+00
0.000000000000000000e+00,6.809709215602456345e-01,2.724769473544794263e+00
