t,dt,gamma,omega,Wg,Wphi,Wapar,energy,heat_flux,particle_flux,turbulent_heating,heat_flux_s0,heat_flux_s1,particle_flux_s0,particle_flux_s1,turbulent_heating_s0,turbulent_heating_s1
4.494984820485115051e-02,4.494984820485115051e-02,-1.980414291112993333e-06,2.035014443512163981e-03,6.510398193710745284e-04,4.137638982592589150e-05,0.000000000000000000e+00,6.924162091970003860e-04,1.332794423204967113e-06,5.479061830996267424e-23,5.121869454766194091e-21,7.713325964870390801e-07,5.614618267179288797e-07,2.168967279032508968e-08,-2.168967279032506652e-08,-1.172078400119032233e-07,1.172078400119083320e-07
8.989969640970230103e-02,4.494984820485115051e-02,8.101154470055516922e-06,2.011479150714850367e-03,6.446536176009904457e-04,4.130534474665581549e-05,0.000000000000000000e+00,6.859589623476463087e-04,2.661249136541342542e-06,-1.069695154765724968e-22,-8.306665143852868279e-21,1.540279202531551333e-06,1.120969934009798620e-06,4.336517268057178925e-08,-4.336517268057179586e-08,-1.159624147799841048e-07,1.159624147799758198e-07
1.348495483398437500e-01,4.494984820485115051e-02,1.790426054513187643e-05,1.991316476053016371e-03,6.385387422440009803e-04,4.123275392692336090e-05,0.000000000000000000e+00,6.797714961709243548e-04,3.984934106841919840e-06,1.314910189724123378e-22,1.795917386435283389e-21,2.306581444621571513e-06,1.678352662220353410e-06,6.501720359554621921e-08,-6.501720359554615304e-08,-1.147549886271968818e-07,1.147549886271986553e-07
1.797993928194046021e-01,4.494984820485115051e-02,2.676736207040871922e-05,1.975756034231720276e-03,6.326897771121295019e-04,4.115864374391350986e-05,0.000000000000000000e+00,6.738484208560430525e-04,5.303426557496784401e-06,-1.114396752737435612e-22,2.713685450080374824e-21,3.069985163576361776e-06,2.233441393920417543e-06,8.663657609780401649e-08,-8.663657609780409590e-08,-1.136045880966582299e-07,1.136045880966609695e-07
2.247492372989654541e-01,4.494984820485115051e-02,3.453554311076125291e-05,1.963939803588112334e-03,6.271014264508819030e-04,4.108304727121589895e-05,0.000000000000000000e+00,6.681844737220978426e-04,6.616312166427779544e-06,9.951164617228794476e-23,-2.904609056578431638e-21,3.830241170966286961e-06,2.786070995461515452e-06,1.082142426966349383e-07,-1.082142426966348589e-07,-1.125289300779365591e-07,1.125289300779336475e-07
