theta,phi,B
0.000000000000000000e+00,0.000000000000000000e+00,2.840238720514315585e+00
0.000000000000000000e+00,7.020318778971604452e-03,2.840071993532591765e+00
0.000000000000000000e+00,1.404063755794320890e-02,2.839572539612214896e+00
0.000000000000000000e+00,2.106095633691481422e-02,2.838742600963086282e+00
0.000000000000000000e+00,2.808127511588641781e-02,2.837586111284684520e+00
0.000000000000000000e+00,3.510159389485802139e-02,2.836108966594536707e+00
0.000000000000000000e+00,4.212191267382962845e-02,2.834319358310067205e+00
0.000000000000000000e+00,4.914223145280122856e-02,2.832228127671251094e+00
0.000000000000000000e+00,5.616255023177283562e-02,2.829849095702756667e+00
0.000000000000000000e+00,6.318286901074443573e-02,2.827199322182181618e+00
0.000000000000000000e+00,7.020318778971604279e-02,2.824299250507289027e+00
0.000000000000000000e+00,7.722350656868764984e-02,2.821172702555951428e+00
0.000000000000000000e+00,8.424382534765925690e-02,2.817846697892672392e+00
0.000000000000000000e+00,9.126414412663086395e-02,2.814351084042139295e+00
0.000000000000000000e+00,9.828446290560245713e-02,2.810717977947946977e+00
0.000000000000000000e+00,1.053047816845740642e-01,2.806981032085154038e+00
0.000000000000000000e+00,1.123251004635456712e-01,2.803174551025531702e+00
0.000000000000000000e+00,1.193454192425172783e-01,2.799332494778394409e+00
0.000000000000000000e+00,1.263657380214888715e-01,2.795487413389295295e+00
0.000000000000000000e+00,1.333860568004604785e-01,2.791669362751946881e+00
0.000000000000000000e+00,1.404063755794320856e-01,2.787904854259603660e+00
0.000000000000000000e+00,1.474266943584036926e-01,2.784215890835426865e+00
0.000000000000000000e+00,1.544470131373752997e-01,2.780619139186264466e+00
0.000000000000000000e+00,1.614673319163469067e-01,2.777125283028095915e+00
0.000000000000000000e+00,1.684876506953185138e-01,2.773738594768262011e+00
0.000000000000000000e+00,1.755079694742901208e-01,2.770456753952592166e+00
0.000000000000000000e+00,1.825282882532617279e-01,2.767270929972688087e+00
0.000000000000000000e+00,1.895486070322333072e-01,2.764166134411233600e+00
0.000000000000000000e+00,1.965689258112049143e-01,2.761121835387900791e+00
0.000000000000000000e+00,2.035892445901765213e-01,2.758112812866618579e+00
0.000000000000000000e+00,2.106095633691481284e-01,2.755110220721550984e+00
0.000000000000000000e+00,2.176298821481197354e-01,2.752082809169852151e+00
0.000000000000000000e+00,2.246502009270913425e-01,2.748998250783456054e+00
0.000000000000000000e+00,2.316705197060629495e-01,2.745824505542330485e+00
0.000000000000000000e+00,2.386908384850345566e-01,2.742531156103563461e+00
0.000000000000000000e+00,2.457111572640061636e-01,2.739090644317442091e+00
0.000000000000000000e+00,2.527314760429777429e-01,2.735479344477959707e+00
0.000000000000000000e+00,2.597517948219493777e-01,2.731678417968198769e+00
0.000000000000000000e+00,2.667721136009209570e-01,2.727674407555095826e+00
0.000000000000000000e+00,2.737924323798925919e-01,2.723459546842198709e+00
0.000000000000000000e+00,2.808127511588641712e-01,2.719031780087430406e+00
0.000000000000000000e+00,2.878330699378358060e-01,2.714394508137323303e+00
0.000000000000000000e+00,2.948533887168073853e-01,2.709556095776388673e+00
0.000000000000000000e+00,3.018737074957789646e-01,2.704529192451809561e+00
0.000000000000000000e+00,3.088940262747505994e-01,2.699329930398255861e+00
0.000000000000000000e+00,3.159143450537221787e-01,2.693977070355238368e+00
0.000000000000000000e+00,3.229346638326938135e-01,2.688491164635604225e+00
0.000000000000000000e+00,3.299549826116653928e-01,2.682893800285266472e+00
0.000000000000000000e+00,3.369753013906370276e-01,2.677206972229980053e+00
0.000000000000000000e+00,3.439956201696086069e-01,2.671452619065711076e+00
0.000000000000000000e+00,3.510159389485802417e-01,2.665652334444620131e+00
0.000000000000000000e+00,3.580362577275518210e-01,2.659827247035122078e+00
0.000000000000000000e+00,3.650565765065234558e-01,2.653998043980685839e+00
0.000000000000000000e+00,3.720768952854950351e-01,2.648185098565803752e+00
0.000000000000000000e+00,3.790972140644666144e-01,2.642408653839652288e+00
0.000000000000000000e+00,3.861175328434382492e-01,2.636689011016154272e+00
0.000000000000000000e+00,3.931378516224098285e-01,2.631046674607463665e+00
0.000000000000000000e+00,4.001581704013814633e-01,2.625502414797144635e+00
0.000000000000000000e+00,4.071784891803530426e-01,2.620077220258943296e+00
0.000000000000000000e+00,4.141988079593246774e-01,2.614792129788184205e+00
0.000000000000000000e+00,4.212191267382962567e-01,2.609667946835509511e+00
0.000000000000000000e+00,4.282394455172678915e-01,2.604724855441815645e+00
0.000000000000000000e+00,4.352597642962394708e-01,2.599981967549535700e+00
0.000000000000000000e+00,4.422800830752111056e-01,2.595456839035219954e+00
0.000000000000000000e+00,4.493004018541826849e-01,2.591164994476434114e+00
0.000000000000000000e+00,4.563207206331542642e-01,2.587119498667135531e+00
0.000000000000000000e+00,4.633410394121258991e-01,2.583330606859562728e+00
0.000000000000000000e+00,4.703613581910974784e-01,2.579805516743468363e+00
0.000000000000000000e+00,4.773816769700691132e-01,2.576548234673566196e+00
0.000000000000000000e+00,4.844019957490406925e-01,2.573559558092296751e+00
0.000000000000000000e+00,4.914223145280123273e-01,2.570837166784656791e+00
0.000000000000000000e+00,4.984426333069839066e-01,2.568375808526441428e+00
0.000000000000000000e+00,5.054629520859554859e-01,2.566167560373115109e+00
0.000000000000000000e+00,5.124832708649271762e-01,2.564202145325442661e+00
0.000000000000000000e+00,5.195035896438987555e-01,2.562467285010838314e+00
0.000000000000000000e+00,5.265239084228703348e-01,2.560949071642605102e+00
0.000000000000000000e+00,5.335442272018419141e-01,2.559632346033427819e+00
0.000000000000000000e+00,5.405645459808134934e-01,2.558501072049252922e+00
0.000000000000000000e+00,5.475848647597851837e-01,2.557538700978224000e+00
0.000000000000000000e+00,5.546051835387567630e-01,2.556728521502796614e+00
0.000000000000000000e+00,5.616255023177283423e-01,2.556053992229010863e+00
0.000000000000000000e+00,5.686458210966999216e-01,2.555499054212032828e+00
0.000000000000000000e+00,5.756661398756716119e-01,2.555048420932708897e+00
0.000000000000000000e+00,5.826864586546431912e-01,2.554687843079907150e+00
0.000000000000000000e+00,5.897067774336147705e-01,2.554404345566795520e+00
0.000000000000000000e+00,5.967270962125863498e-01,2.554186434617093049e+00
0.000000000000000000e+00,6.037474149915579291e-01,2.554024273503527898e+00
0.000000000000000000e+00,6.107677337705296194e-01,2.553909826473735656e+00
0.000000000000000000e+00,6.177880525495011987e-01,2.553836971343331985e+00
0.000000000000000000e+00,6.248083713284727780e-01,2.553801581947023891e+00
0.000000000000000000e+00,6.318286901074443573e-01,2.553801581947023891e+00
0.000000000000000000e+00,6.388490088864160477e-01,2.553836971343331985e+00
0.000000000000000000e+00,6.458693276653876270e-01,2.553909826473735656e+00
0.000000000000000000e+00,6.528896464443592063e-01,2.554024273503527898e+00
0.000000000000000000e+00,6.599099652233307856e-01,2.554186434617093049e+00
0.000000000000000000e+00,6.669302840023024759e-01,2.554404345566795520e+00
0.000000000000000000e+00,6.739506027812740552e-01,2.554687843079907150e+00
0.000000000000000000e+00,6.809709215602456345e-01,2.555048420932708897e+00
0.000000000000000000e+00,6.879912403392172138e-01,2.555499054212032828e+00
0.000000000000000000e+00,6.950115591181887931e-01,2.556053992229010863e+00
0.000000000000000000e+00,7.020318778971604834e-01,2.556728521502796614e+00
0.000000000000000000e+00,7.090521966761320627e-01,2.557538700978224000e+00
0.000000000000000000e+00,7.160725154551036420e-01,2.558501072049252922e+00
0.000000000000000000e+00,7.230928342340752213e-01,2.559632346033427819e+00
0.000000000000000000e+00,7.301131530130469116e-01,2.560949071642605102e+00
0.000000000000000000e+00,7.371334717920184909e-01,2.562467285010838314e+00
0.000000000000000000e+00,7.441537905709900702e-01,2.564202145325442661e+00
0.000000000000000000e+00,7.511741093499616495e-01,2.566167560373115997e+00
0.000000000000000000e+00,7.581944281289332288e-01,2.568375808526441428e+00
0.000000000000000000e+00,7.652147469079049191e-01,2.570837166784656791e+00
0.000000000000000000e+00,7.722350656868764984e-01,2.573559558092296751e+00
0.000000000000000000e+00,7.792553844658480777e-01,2.576548234673566196e+00
0.000000000000000000e+00,7.862757032448196570e-01,2.579805516743468807e+00
0.000000000000000000e+00,7.932960220237913473e-01,2.583330606859563172e+00
0.000000000000000000e+00,8.003163408027629266e-01,2.587119498667135531e+00
0.000000000000000000e+00,8.073366595817345059e-01,2.591164994476434558e+00
0.000000000000000000e+00,8.143569783607060852e-01,2.595456839035219954e+00
0.000000000000000000e+00,8.213772971396777756e-01,2.599981967549535700e+00
0.000000000000000000e+00,8.283976159186493549e-01,2.604724855441815645e+00
0.000000000000000000e+00,8.354179346976209342e-01,2.609667946835509511e+00
0.000000000000000000e+00,8.424382534765925135e-01,2.614792129788184205e+00
0.000000000000000000e+00,8.494585722555640928e-01,2.620077220258943296e+00
0.000000000000000000e+00,8.564788910345357831e-01,2.625502414797144635e+00
0.000000000000000000e+00,8.634992098135073624e-01,2.631046674607462776e+00
0.000000000000000000e+00,8.705195285924789417e-01,2.636689011016154716e+00
0.000000000000000000e+00,8.775398473714505210e-01,2.642408653839652288e+00
0.000000000000000000e+00,8.845601661504222113e-01,2.648185098565803308e+00
0.000000000000000000e+00,8.915804849293937906e-01,2.653998043980685839e+00
0.000000000000000000e+00,8.986008037083653699e-01,2.659827247035122078e+00
0.000000000000000000e+00,9.056211224873369492e-01,2.665652334444620131e+00
0.000000000000000000e+00,9.126414412663085285e-01,2.671452619065711076e+00
0.000000000000000000e+00,9.196617600452802188e-01,2.677206972229980053e+00
