theta,phi,B
0.000000000000000000e+00,0.000000000000000000e+00,2.823157271352517039e+00
0.000000000000000000e+00,7.020318778971604452e-03,2.823002934088680416e+00
0.000000000000000000e+00,1.404063755794320890e-02,2.822541411868280115e+00
0.000000000000000000e+00,2.106095633691481422e-02,2.821777191595809864e+00
0.000000000000000000e+00,2.808127511588641781e-02,2.820717805801777001e+00
0.000000000000000000e+00,3.510159389485802139e-02,2.819373893267271836e+00
0.000000000000000000e+00,4.212191267382962845e-02,2.817759245747507801e+00
0.000000000000000000e+00,4.914223145280122856e-02,2.815890810525200294e+00
0.000000000000000000e+00,5.616255023177283562e-02,2.813788619524371537e+00
0.000000000000000000e+00,6.318286901074443573e-02,2.811475621472392383e+00
0.000000000000000000e+00,7.020318778971604279e-02,2.808977403025079145e+00
0.000000000000000000e+00,7.722350656868764984e-02,2.806321796196339147e+00
0.000000000000000000e+00,8.424382534765925690e-02,2.803538380937176111e+00
0.000000000000000000e+00,9.126414412663086395e-02,2.800657901475395839e+00
0.000000000000000000e+00,9.828446290560245713e-02,2.797711621678671712e+00
0.000000000000000000e+00,1.053047816845740642e-01,2.794730647522653211e+00
0.000000000000000000e+00,1.123251004635456712e-01,2.791745243763525064e+00
0.000000000000000000e+00,1.193454192425172783e-01,2.788784167849637896e+00
0.000000000000000000e+00,1.263657380214888715e-01,2.785874038180134793e+00
0.000000000000000000e+00,1.333860568004604785e-01,2.783038747481443309e+00
0.000000000000000000e+00,1.404063755794320856e-01,2.780298926715080832e+00
0.000000000000000000e+00,1.474266943584036926e-01,2.777671461620304427e+00
0.000000000000000000e+00,1.544470131373752997e-01,2.775169063298585037e+00
0.000000000000000000e+00,1.614673319163469067e-01,2.772799896153375521e+00
0.000000000000000000e+00,1.684876506953185138e-01,2.770567270456268272e+00
0.000000000000000000e+00,1.755079694742901208e-01,2.768469411854287188e+00
0.000000000000000000e+00,1.825282882532617279e-01,2.766499325065894688e+00
0.000000000000000000e+00,1.895486070322333072e-01,2.764644772617627755e+00
0.000000000000000000e+00,1.965689258112049143e-01,2.762888390696953245e+00
0.000000000000000000e+00,2.035892445901765213e-01,2.761207962309804476e+00
0.000000000000000000e+00,2.106095633691481284e-01,2.759576862617467707e+00
0.000000000000000000e+00,2.176298821481197354e-01,2.757964682728617500e+00
0.000000000000000000e+00,2.246502009270913425e-01,2.756338026921375750e+00
0.000000000000000000e+00,2.316705197060629495e-01,2.754661465237105311e+00
0.000000000000000000e+00,2.386908384850345566e-01,2.752898609883538850e+00
0.000000000000000000e+00,2.457111572640061636e-01,2.751013271343405897e+00
0.000000000000000000e+00,2.527314760429777429e-01,2.748970639966133778e+00
0.000000000000000000e+00,2.597517948219493777e-01,2.746738432453123657e+00
0.000000000000000000e+00,2.667721136009209570e-01,2.744287941064907699e+00
0.000000000000000000e+00,2.737924323798925919e-01,2.741594927170233120e+00
0.000000000000000000e+00,2.808127511588641712e-01,2.738640309951651641e+00
0.000000000000000000e+00,2.878330699378358060e-01,2.735410615091109054e+00
