theta,phi,B
0.000000000000000000e+00,0.000000000000000000e+00,2.651529460920236114e-01
0.000000000000000000e+00,1.755079694742901070e-02,2.651520484956973456e-01
0.000000000000000000e+00,3.510159389485802139e-02,2.651494312549310672e-01
0.000000000000000000e+00,5.265239084228703209e-02,2.651453161648327783e-01
0.000000000000000000e+00,7.020318778971604279e-02,2.651400570151100644e-01
0.000000000000000000e+00,8.775398473714504655e-02,2.651341168060765141e-01
0.000000000000000000e+00,1.053047816845740642e-01,2.651280378265443716e-01
0.000000000000000000e+00,1.228555786320030818e-01,2.651224064259636304e-01
0.000000000000000000e+00,1.404063755794320856e-01,2.651178146418589621e-01
0.000000000000000000e+00,1.579571725268610893e-01,2.651148210422813456e-01
0.000000000000000000e+00,1.755079694742900931e-01,2.651139131995208231e-01
0.000000000000000000e+00,1.930587664217191246e-01,2.651154741220513311e-01
0.000000000000000000e+00,2.106095633691481284e-01,2.651197547416399014e-01
0.000000000000000000e+00,2.281603603165771321e-01,2.651268541951840030e-01
0.000000000000000000e+00,2.457111572640061636e-01,2.651367091772774409e-01
0.000000000000000000e+00,2.632619542114351674e-01,2.651490930971973636e-01
0.000000000000000000e+00,2.808127511588641712e-01,2.651636251852760862e-01
0.000000000000000000e+00,2.983635481062931749e-01,2.651797890935754243e-01
0.000000000000000000e+00,3.159143450537221787e-01,2.651969599604016015e-01
0.000000000000000000e+00,3.334651420011511824e-01,2.652144383920361226e-01
0.000000000000000000e+00,3.510159389485801862e-01,2.652314893893204517e-01
0.000000000000000000e+00,3.685667358960092455e-01,2.652473839372738174e-01
0.000000000000000000e+00,3.861175328434382492e-01,2.652614408018270642e-01
0.000000000000000000e+00,4.036683297908672530e-01,2.652730660499851845e-01
0.000000000000000000e+00,4.212191267382962567e-01,2.652817879306747506e-01
0.000000000000000000e+00,4.387699236857252605e-01,2.652872850165489682e-01
0.000000000000000000e+00,4.563207206331542642e-01,2.652894058970813318e-01
0.000000000000000000e+00,4.738715175805832680e-01,2.652881792075590939e-01
0.000000000000000000e+00,4.914223145280123273e-01,2.652838133479905047e-01
0.000000000000000000e+00,5.089731114754413310e-01,2.652766858567047747e-01
0.000000000000000000e+00,5.265239084228703348e-01,2.652673230191415765e-01
0.000000000000000000e+00,5.440747053702993385e-01,2.652563708761107031e-01
0.000000000000000000e+00,5.616255023177283423e-01,2.652445593124980738e-01
0.000000000000000000e+00,5.791762992651573461e-01,2.652326613256929533e-01
0.000000000000000000e+00,5.967270962125863498e-01,2.652214498672986198e-01
0.000000000000000000e+00,6.142778931600153536e-01,2.652116548037560251e-01
0.000000000000000000e+00,6.318286901074443573e-01,2.652039225414807855e-01
0.000000000000000000e+00,6.493794870548733611e-01,2.651987807092717753e-01
0.000000000000000000e+00,6.669302840023023649e-01,2.651966099935637589e-01
0.000000000000000000e+00,6.844810809497313686e-01,2.651976247977114176e-01
0.000000000000000000e+00,7.020318778971603724e-01,2.652018638698648290e-01
0.000000000000000000e+00,7.195826748445894872e-01,2.652091914463805544e-01
0.000000000000000000e+00,7.371334717920184909e-01,2.652193088247460917e-01
0.000000000000000000e+00,7.546842687394474947e-01,2.652317756497793999e-01
0.000000000000000000e+00,7.722350656868764984e-01,2.652460396074349247e-01
0.000000000000000000e+00,7.897858626343055022e-01,2.652614727077587942e-01
0.000000000000000000e+00,8.073366595817345059e-01,2.652774119338534575e-01
0.000000000000000000e+00,8.248874565291635097e-01,2.652932017621508209e-01
0.000000000000000000e+00,8.424382534765925135e-01,2.653082359380991018e-01
0.000000000000000000e+00,8.599890504240215172e-01,2.653219959286690077e-01
0.000000000000000000e+00,8.775398473714505210e-01,2.653340836675299741e-01
0.000000000000000000e+00,8.950906443188795247e-01,2.653442465494499913e-01
0.000000000000000000e+00,9.126414412663085285e-01,2.653523930975478784e-01
0.000000000000000000e+00,9.301922382137375322e-01,2.653585982929028697e-01
0.000000000000000000e+00,9.477430351611665360e-01,2.653630981868425609e-01
0.000000000000000000e+00,9.652938321085955398e-01,2.653662740740579951e-01
0.000000000000000000e+00,9.828446290560246545e-01,2.653686271496554783e-01
0.000000000000000000e+00,1.000395426003453547e+00,2.653707451660199945e-01
0.000000000000000000e+00,1.017946222950882662e+00,2.653732631095069849e-01
0.000000000000000000e+00,1.035497019898311555e+00,2.653768203011883653e-01
0.000000000000000000e+00,1.053047816845740670e+00,2.653820165659825370e-01
0.000000000000000000e+00,1.070598613793169562e+00,2.653893701948244477e-01
0.000000000000000000e+00,1.088149410740598677e+00,2.653992803391207467e-01
0.000000000000000000e+00,1.105700207688027570e+00,2.654119962295475310e-01
0.000000000000000000e+00,1.123251004635456685e+00,2.654275952161967989e-01
0.000000000000000000e+00,1.140801801582885799e+00,2.654459711070699113e-01
0.000000000000000000e+00,1.158352598530314692e+00,2.654668336676748175e-01
0.000000000000000000e+00,1.175903395477743807e+00,2.654897194725798770e-01
0.000000000000000000e+00,1.193454192425172700e+00,2.655140136106113879e-01
0.000000000000000000e+00,1.211004989372601814e+00,2.655389810805775519e-01
0.000000000000000000e+00,1.228555786320030707e+00,2.655638061144570683e-01
0.000000000000000000e+00,1.246106583267459822e+00,2.655876371666587299e-01
0.000000000000000000e+00,1.263657380214888715e+00,2.656096349421178116e-01
0.000000000000000000e+00,1.281208177162317829e+00,2.656290206256778919e-01
0.000000000000000000e+00,1.298758974109746722e+00,2.656451214341227773e-01
0.000000000000000000e+00,1.316309771057175837e+00,2.656574107440229926e-01
0.000000000000000000e+00,1.333860568004604730e+00,2.656655403463550891e-01
0.000000000000000000e+00,1.351411364952033844e+00,2.656693628257593143e-01
0.000000000000000000e+00,1.368962161899462737e+00,2.656689426323071701e-01
0.000000000000000000e+00,1.386512958846891852e+00,2.656645550732276706e-01
0.000000000000000000e+00,1.404063755794320745e+00,2.656566731620057520e-01
0.000000000000000000e+00,1.421614552741749860e+00,2.656459429803653127e-01
0.000000000000000000e+00,1.439165349689178974e+00,2.656331488917910155e-01
0.000000000000000000e+00,1.456716146636607867e+00,2.656191705524347801e-01
0.000000000000000000e+00,1.474266943584036982e+00,2.656049341597697677e-01
0.000000000000000000e+00,1.491817740531465875e+00,2.655913607312571090e-01
0.000000000000000000e+00,1.509368537478894989e+00,2.655793143930150202e-01
0.000000000000000000e+00,1.526919334426323882e+00,2.655695536703392978e-01
0.000000000000000000e+00,1.544470131373752997e+00,2.655626886067282144e-01
0.000000000000000000e+00,1.562020928321181890e+00,2.655591462052565022e-01
0.000000000000000000e+00,1.579571725268611004e+00,2.655591462052565022e-01
0.000000000000000000e+00,1.597122522216039897e+00,2.655626886067282144e-01
0.000000000000000000e+00,1.614673319163469012e+00,2.655695536703392978e-01
0.000000000000000000e+00,1.632224116110897905e+00,2.655793143930150202e-01
0.000000000000000000e+00,1.649774913058327019e+00,2.655913607312571090e-01
0.000000000000000000e+00,1.667325710005755912e+00,2.656049341597697677e-01
0.000000000000000000e+00,1.684876506953185027e+00,2.656191705524347801e-01
0.000000000000000000e+00,1.702427303900614142e+00,2.656331488917910155e-01
0.000000000000000000e+00,1.719978100848043034e+00,2.656459429803653127e-01
0.000000000000000000e+00,1.737528897795472149e+00,2.656566731620057520e-01
0.000000000000000000e+00,1.755079694742901042e+00,2.656645550732276706e-01
0.000000000000000000e+00,1.772630491690330157e+00,2.656689426323071701e-01
0.000000000000000000e+00,1.790181288637759049e+00,2.656693628257593143e-01
0.000000000000000000e+00,1.807732085585188164e+00,2.656655403463550891e-01
0.000000000000000000e+00,1.825282882532617057e+00,2.656574107440229926e-01
0.000000000000000000e+00,1.842833679480046172e+00,2.656451214341227773e-01
0.000000000000000000e+00,1.860384476427475064e+00,2.656290206256778919e-01
0.000000000000000000e+00,1.877935273374904179e+00,2.656096349421178116e-01
0.000000000000000000e+00,1.895486070322333072e+00,2.655876371666587299e-01
0.000000000000000000e+00,1.913036867269762187e+00,2.655638061144570683e-01
0.000000000000000000e+00,1.930587664217191080e+00,2.655389810805775519e-01
0.000000000000000000e+00,1.948138461164620194e+00,2.655140136106113879e-01
0.000000000000000000e+00,1.965689258112049309e+00,2.654897194725798770e-01
0.000000000000000000e+00,1.983240055059478202e+00,2.654668336676748175e-01
0.000000000000000000e+00,2.000790852006907095e+00,2.654459711070699113e-01
0.000000000000000000e+00,2.018341648954336431e+00,2.654275952161967989e-01
0.000000000000000000e+00,2.035892445901765324e+00,2.654119962295475310e-01
0.000000000000000000e+00,2.053443242849194217e+00,2.653992803391207467e-01
