t,dt,gamma,omega,Wg,Wphi,Wapar,energy,heat_flux,particle_flux,turbulent_heating,heat_flux_s0,particle_flux_s0,turbulent_heating_s0
1.000000014901161194e-01,1.000000014901161194e-01,2.532882186957761202e-04,1.238889059115271495e-02,3.028100125533430215e-06,2.031267831976287022e-06,0.000000000000000000e+00,5.059367957509717237e-06,1.258701743195025986e-07,0.000000000000000000e+00,3.168739806376765206e-21,1.258701743195025986e-07,0.000000000000000000e+00,3.168739806376765206e-21
5.099997520446777344e+00,1.000000014901161194e-01,5.985148504841708399e-03,-2.395820965767899227e-02,1.033524301306935233e-05,1.129692255591925391e-06,0.000000000000000000e+00,1.146493526866127836e-05,3.368309579676830701e-06,0.000000000000000000e+00,-6.443550783767136737e-21,3.368309579676830701e-06,0.000000000000000000e+00,-6.443550783767136737e-21
