theta,phi,B
0.000000000000000000e+00,0.000000000000000000e+00,2.646487926022912607e+00
0.000000000000000000e+00,7.020318778971604452e-03,2.647350419279851153e+00
0.000000000000000000e+00,1.404063755794320890e-02,2.649808425754724972e+00
0.000000000000000000e+00,2.106095633691481422e-02,2.653490209132787214e+00
0.000000000000000000e+00,2.808127511588641781e-02,2.657829742054181210e+00
0.000000000000000000e+00,3.510159389485802139e-02,2.662139989352860336e+00
0.000000000000000000e+00,4.212191267382962845e-02,2.665702371741808463e+00
0.000000000000000000e+00,4.914223145280122856e-02,2.667861262111390186e+00
0.000000000000000000e+00,5.616255023177283562e-02,2.668111735436577536e+00
0.000000000000000000e+00,6.318286901074443573e-02,2.666169623336029471e+00
0.000000000000000000e+00,7.020318778971604279e-02,2.662015108195503021e+00
0.000000000000000000e+00,7.722350656868764984e-02,2.655904353445570631e+00
0.000000000000000000e+00,8.424382534765925690e-02,2.648347596836272189e+00
0.000000000000000000e+00,9.126414412663086395e-02,2.640056241998923969e+00
0.000000000000000000e+00,9.828446290560245713e-02,2.631865260733720735e+00
0.000000000000000000e+00,1.053047816845740642e-01,2.624640199770404081e+00
0.000000000000000000e+00,1.123251004635456712e-01,2.619179909554581798e+00
0.000000000000000000e+00,1.193454192425172783e-01,2.616126564587996306e+00
0.000000000000000000e+00,1.263657380214888715e-01,2.615893583438849479e+00
0.000000000000000000e+00,1.333860568004604785e-01,2.618619816275899570e+00
0.000000000000000000e+00,1.404063755794320856e-01,2.624155140308023437e+00
0.000000000000000000e+00,1.474266943584036926e-01,2.632078798918133344e+00
0.000000000000000000e+00,1.544470131373752997e-01,2.641747913946027371e+00
0.000000000000000000e+00,1.614673319163469067e-01,2.652370072492329367e+00
0.000000000000000000e+00,1.684876506953185138e-01,2.663091164061519134e+00
0.000000000000000000e+00,1.755079694742901208e-01,2.673088037148062313e+00
0.000000000000000000e+00,1.825282882532617279e-01,2.681655227252748741e+00
0.000000000000000000e+00,1.895486070322333072e-01,2.688275987661955746e+00
0.000000000000000000e+00,1.965689258112049143e-01,2.692669976022838529e+00
0.000000000000000000e+00,2.035892445901765213e-01,2.694812922119382392e+00
0.000000000000000000e+00,2.106095633691481284e-01,2.694927036457702485e+00
0.000000000000000000e+00,2.176298821481197354e-01,2.693444381137625854e+00
0.000000000000000000e+00,2.246502009270913425e-01,2.690948490777835822e+00
0.000000000000000000e+00,2.316705197060629495e-01,2.688101842879084824e+00
0.000000000000000000e+00,2.386908384850345566e-01,2.685568082361055708e+00
0.000000000000000000e+00,2.457111572640061636e-01,2.683938088069997896e+00
