theta,phi,B
0.000000000000000000e+00,0.000000000000000000e+00,2.672444763009654167e+00
0.000000000000000000e+00,7.020318778971604452e-03,2.673087563973958858e+00
0.000000000000000000e+00,1.404063755794320890e-02,2.674915592532046471e+00
0.000000000000000000e+00,2.106095633691481422e-02,2.677640807220649233e+00
0.000000000000000000e+00,2.808127511588641781e-02,2.680825113110773650e+00
0.000000000000000000e+00,3.510159389485802139e-02,2.683937816519263553e+00
0.000000000000000000e+00,4.212191267382962845e-02,2.686425750011879554e+00
0.000000000000000000e+00,4.914223145280122856e-02,2.687787304388201459e+00
0.000000000000000000e+00,5.616255023177283562e-02,2.687641095728187324e+00
0.000000000000000000e+00,6.318286901074443573e-02,2.685780633483185298e+00
0.000000000000000000e+00,7.020318778971604279e-02,2.682208060663662241e+00
0.000000000000000000e+00,7.722350656868764984e-02,2.677142598098400494e+00
0.000000000000000000e+00,8.424382534765925690e-02,2.671002424576311540e+00
0.000000000000000000e+00,9.126414412663086395e-02,2.664361980333503244e+00
0.000000000000000000e+00,9.828446290560245713e-02,2.657889691221560824e+00
0.000000000000000000e+00,1.053047816845740642e-01,2.652273504820494843e+00
0.000000000000000000e+00,1.123251004635456712e-01,2.648143114929293773e+00
0.000000000000000000e+00,1.193454192425172783e-01,2.645998148007234985e+00
0.000000000000000000e+00,1.263657380214888715e-01,2.646150850428496959e+00
0.000000000000000000e+00,1.333860568004604785e-01,2.648690045360700740e+00
0.000000000000000000e+00,1.404063755794320856e-01,2.653470546794145513e+00
0.000000000000000000e+00,1.474266943584036926e-01,2.660129148724078796e+00
0.000000000000000000e+00,1.544470131373752997e-01,2.668125130576449955e+00
0.000000000000000000e+00,1.614673319163469067e-01,2.676800326285130094e+00
0.000000000000000000e+00,1.684876506953185138e-01,2.685451545338550350e+00
0.000000000000000000e+00,1.755079694742901208e-01,2.693406778029737936e+00
0.000000000000000000e+00,1.825282882532617279e-01,2.700096316724174272e+00
0.000000000000000000e+00,1.895486070322333072e-01,2.705110699328650004e+00
0.000000000000000000e+00,1.965689258112049143e-01,2.708239115313755718e+00
0.000000000000000000e+00,2.035892445901765213e-01,2.709484376077290424e+00
0.000000000000000000e+00,2.106095633691481284e-01,2.709053421447356058e+00
0.000000000000000000e+00,2.176298821481197354e-01,2.707325249869298123e+00
0.000000000000000000e+00,2.246502009270913425e-01,2.704800761307750712e+00
0.000000000000000000e+00,2.316705197060629495e-01,2.702040977789411880e+00
0.000000000000000000e+00,2.386908384850345566e-01,2.699601232753695346e+00
0.000000000000000000e+00,2.457111572640061636e-01,2.697969086648654979e+00
0.000000000000000000e+00,2.527314760429777429e-01,2.697512946960830327e+00
0.000000000000000000e+00,2.597517948219493777e-01,2.698446779753492120e+00
0.000000000000000000e+00,2.667721136009209570e-01,2.700814128580478979e+00
0.000000000000000000e+00,2.737924323798925919e-01,2.704492201805253071e+00
0.000000000000000000e+00,2.808127511588641712e-01,2.709214371058485060e+00
0.000000000000000000e+00,2.878330699378358060e-01,2.714607342880252183e+00
0.000000000000000000e+00,2.948533887168073853e-01,2.720237765699039301e+00
0.000000000000000000e+00,3.018737074957789646e-01,2.725662270913154828e+00
0.000000000000000000e+00,3.088940262747505994e-01,2.730474971587670385e+00
0.000000000000000000e+00,3.159143450537221787e-01,2.734347200908449071e+00
0.000000000000000000e+00,3.229346638326938135e-01,2.737055617678237240e+00
