t,dt,gamma,omega,Wg,Wphi,Wapar,energy,heat_flux,particle_flux,turbulent_heating,heat_flux_s0,particle_flux_s0,turbulent_heating_s0
1.000000014901161194e-01,1.000000014901161194e-01,4.892585757499317905e-05,-2.647247754997343258e-02,3.040620172176223578e-06,3.656351380835919105e-07,0.000000000000000000e+00,3.406255310259815276e-06,1.570033368224640826e-08,0.000000000000000000e+00,-2.875451381766318572e-22,1.570033368224640826e-08,0.000000000000000000e+00,-2.875451381766318572e-22
5.099997520446777344e+00,1.000000014901161194e-01,-1.297458391751254081e-03,-5.214967472568356882e-02,3.219154994415401508e-06,2.077552578545713840e-07,0.000000000000000000e+00,3.426910252269972786e-06,4.404279411593766367e-07,0.000000000000000000e+00,-8.361019291140603569e-22,4.404279411593766367e-07,0.000000000000000000e+00,-8.361019291140603569e-22
