parameter,forward_fd,reverse_ad,relative_error
T0,3.0572339999999998e+00,4.1306249932125239e+00,3.5109873605112468e-01
$\alpha_n$,-8.5283689999999995e-02,-1.1591644638113782e-01,3.5918657343670085e-01
RBC:1:0,-6.2627319999999997e+01,-6.2626550858639305e+01,1.2281243404508776e-05
