parameter,forward_fd,reverse_ad,relative_error
T0,8.1428780000000006e-02,8.1435926777295040e-02,8.7767215658068743e-05
$\alpha_n$,2.3111569999999999e-03,2.3105926842456898e-03,2.4417023781164938e-04
RBC:1:0,1.2073930000000000e-03,1.2073914238870094e-03,1.3053852312826675e-06
